User Rating Count,Price,Age Rating,Size,lowest_review,highest_review,average_review,game_age,last_update,maintaning_period,dev_freq,dev_avg,genre_Action,genre_Adventure,genre_Board,genre_Card,genre_Casual,genre_Education,genre_Family,genre_Puzzle,genre_Role Playing,genre_Simulation,genre_Sports,genre_infrequent,langs_count,lang_DE,lang_ES,lang_FR,lang_IT,lang_JA,lang_KO,lang_NL,lang_PL,lang_PT,lang_RU,lang_TR,lang_ZH,lang_infrequent,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_sia,sub_sia,excitement_score,attractive_score,Icon1,Icon2,Icon3,Icon4
36357,0.0,4.0,461613056,0.4019,0.9927,0.9131105263157895,2488,1383,1105,1,4.092228864218616,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,0.99,19.99,6.590000000000001,0.0,0.0,0.147,0.001949317738791423,-0.20032123661015874,0.3779061275506109,-0.00042118216741070247,0.074790633728522
4275,0.0,12.0,20635648,0.1043,0.9803,0.7796888888888888,4282,2671,1611,1,4.092228864218616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.99,99.99,30.865,0.0,0.0,0.277,0.0,-0.3559397129717287,-0.14733025773657024,-0.05223484160271915,-0.17267922954437417
41,0.0,9.0,554553344,-0.1298,0.9766,0.46816,3044,2924,120,5,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,0.99,3.99,2.3233333333333337,0.0,0.0,0.222,0.0,-0.1783547117080635,0.07157853608924389,-0.018404784100683805,-0.08213900343190328
27,0.0,4.0,417447936,-0.8074,0.9239,0.027642857142857143,3033,2884,149,3,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,0.99,4.99,2.99,0.0,0.0,0.356,0.0,-0.29563405754975297,0.1906491532385867,0.04357909533486285,-0.04423041147295075
8,0.0,4.0,4358144,-0.3956,-0.3956,-0.3956,3372,3260,112,1,4.092228864218616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.99,0.99,0.99,0.0,0.0,0.126,0.0,0.3041034173968936,0.10064603155037287,0.29118306458635723,-0.15538681426183112
82,0.0,4.0,45301760,0.0,0.9352,0.26308,2222,2222,0,8,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.254,0.0,0.196,0.01020408163265306,-0.2087336836580226,-0.023026439748799664,-0.13102233767394292,0.26552070439678016
423,0.0,9.0,211773440,0.0,0.9766,0.4648571428571429,4067,2419,1648,3,4.128644314868804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5,0.99,24.99,8.59,0.6,0.0,0.266,0.0,-0.2932113689993076,-0.0068288316835637825,-0.06735399668157838,-0.11151383517533262
32356,0.0,4.0,44116992,-0.5423,0.9956,0.7667428571428571,3905,1413,2492,3,4.128644314868804,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.444,0.178,0.0,-0.2454815245142637,-0.07451811103043376,0.04413936909663148,-0.18073690330824907
776,0.0,4.0,172079104,0.0,0.9042,0.6043166666666667,2429,2285,144,16,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.99,19.99,5.656666666666666,0.271,0.0,0.279,0.0,-0.08051613810463237,0.01927930717679551,-0.13647674749937133,0.059444655297384505
9,0.0,4.0,52178944,-0.2247,0.9603,0.43881999999999993,4024,3017,1007,1,4.092228864218616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.99,0.99,0.99,0.0,0.0,0.127,0.0,0.2951722184634628,-0.01283052048547867,0.012198149143452856,0.015248843701598732
