User Rating Count,Price,Age Rating,Size,Average User Rating,game_age,last_update,maintaning_period,dev_freq,dev_avg,genre_Action,genre_Adventure,genre_Board,genre_Card,genre_Casual,genre_Education,genre_Family,genre_Puzzle,genre_Role Playing,genre_Simulation,genre_Sports,genre_infrequent,langs_count,lang_DE,lang_ES,lang_FR,lang_IT,lang_JA,lang_KO,lang_NL,lang_PT,lang_RU,lang_TR,lang_ZH,lang_infrequent,purchases_count,lowest_purchase,highest_purchase,average_purchase,Description_PCA_0,Description_PCA_1,Subtitle_PCA_0,Subtitle_PCA_1,Name_PCA_0,Name_PCA_1,Icon1,Icon2,Icon3,Icon4,excitement_score,attractive_score,name_sia,sub_sia,lowest_review,highest_review,average_review
457,0.0,4.0,167445504,4.5,2324,2179,-145,11,4.636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.99,39.99,15.389999999999997,-0.2159718830426855,-0.17145469169035382,-0.017837400283634532,-0.02698814809755365,-0.21968774203898986,0.4236596500644982,-0.053112657097149386,-0.06072116753358223,-0.05648131012035746,0.05978441558535537,0.295,0.0,0.0,0.0,0.34,0.9812,0.8137285714285714
175,0.0,4.0,63036416,2.5,2487,2291,-196,2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.1961955145574194,-0.1644887147369962,-0.017837400283634532,-0.02698814809755365,-0.3330838125716771,0.7219968995051042,0.07371541749210998,0.018886989024792005,0.18545433864704275,0.12234597836704067,0.196,0.008547008547008548,0.0,0.0,-0.4184,0.8834,0.43810000000000004
42,0.0,4.0,79738880,4.5,2199,2186,-13,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,0.99,4.99,2.74,-0.23180400297310522,-0.13879101130707816,-0.017837400283634532,-0.02698814809755365,-0.023773004102952792,-0.009230319911679618,0.16934617063654603,0.09351682061735693,0.05695316187340751,-0.06131035363666321,0.363,0.0,0.0,0.0,-0.4423,0.8805,0.5412714285714285
1542,0.0,4.0,53391360,4.5,2634,2010,-624,1,4.128473804100228,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.99,6.99,6.99,-0.2098296321012857,-0.1504784766308353,-0.03032535964132326,0.08565540273740332,-0.01768992739858203,-0.04929048905007097,-0.020068896246462426,0.007564302681151619,0.1799374491193818,0.14547546144275775,0.226,0.016129032258064516,0.0,0.677,-0.8216,0.9853,0.4344777777777778
2091,0.0,9.0,35420160,4.0,4653,1875,-2778,1,4.128473804100228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.99,0.99,0.99,-0.21594970508268116,-0.14913387139490514,-0.017837400283634532,-0.02698814809755365,-0.01571333345613457,-0.04254170649308067,0.252570960213493,0.7663279743012587,0.007273444644905482,-0.06330044193865444,0.189,0.0,0.0,0.0,0.5413,0.9969,0.88346
55,0.99,9.0,78445568,4.0,1956,1956,0,5,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.18974681834144788,-0.15933672378437894,-0.017837400283634532,-0.02698814809755365,-0.02939317341873717,-0.09958250382631659,-0.05049962315919229,-0.0624834370196091,0.03553697134151881,-0.09462958584049838,0.182,0.0,0.0,0.0,-0.2654,0.994,0.47044444444444444
775,0.0,9.0,77953024,4.5,2582,2582,0,6,4.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,18.0,10,0.99,49.99,8.59,-0.1546970183425093,-0.1752310296454788,-0.017837400283634532,-0.02698814809755365,-0.13129717578677766,0.33995932969560605,0.170710501921865,0.06800435528438525,-0.1663913319777181,-0.03903395443322614,0.205,0.0,0.0,0.0,0.5719,0.9771,0.8463142857142858
711,0.0,4.0,29514752,4.0,2374,2206,-168,1,4.128473804100228,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.99,1.99,1.99,-0.2361030919406751,-0.1348735797337662,-0.017837400283634532,-0.02698814809755365,0.0016468503222929218,-0.04941822113612073,0.11312167998860559,-0.12990002148606644,-0.029644359191070665,0.00631846842989716,0.163,0.0,0.189,0.0,-0.3182,0.9299,0.32139999999999996
170,0.0,4.0,28418048,3.5,2609,2609,0,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.22338879936126732,-0.13104862934491068,-0.017837400283634532,-0.02698814809755365,-0.033037537700437394,-0.0393442561899455,0.044386205972021864,-0.020244673177970397,0.22941544347027987,0.09165365883323742,0.318,0.0,0.0,0.0,-0.4767,0.7548,-0.07338571428571429
7102,0.0,12.0,117609472,4.5,3297,1587,-1710,1,4.128473804100228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,10,1.99,99.99,20.689999999999998,-0.2182163921558207,-0.18354187554408286,-0.017837400283634532,-0.02698814809755365,-0.03011510200775419,-0.025372795186506765,-0.006091069190776831,0.11582080518455296,0.01570896887290124,-0.04206571122106806,0.325,0.0,0.0,0.0,-0.8522,0.9915,0.6447777777777778
