User Rating Count,Price,Age Rating,Size,lowest_review,highest_review,average_review,game_age,last_update,maintaning_period,dev_freq,dev_avg,genre_Action,genre_Adventure,genre_Board,genre_Card,genre_Casual,genre_Education,genre_Family,genre_Puzzle,genre_Role Playing,genre_Simulation,genre_Sports,genre_infrequent,langs_count,lang_DE,lang_ES,lang_FR,lang_IT,lang_JA,lang_KO,lang_PT,lang_RU,lang_ZH,lang_infrequent,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_sia,sub_sia,excitement_score,attractive_score,Icon1,Icon2,Icon3,Icon4
56,0.0,4.0,21726208,,0.8499634337014956,,2413,2413,0,1,4.040987780040733,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.99,0.99,0.99,0.333,0.0,0.38999999999999996,0.0,-0.05779727257053178,0.32493939469421224,-0.06906367616701369,0.10690297496871344
8,0.0,9.0,101302272,-0.16762508706332002,,0.5511048544899251,3242,3237,5,3,3.928038935666891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.99,49.99,11.615,0.0,0.0,0.238,0.0,-0.37134110070528314,-0.08011467288426141,-0.09823585650689776,-0.14858898055937023
20,0.0,4.0,6594560,,0.867845104844143,,3321,3315,6,1,4.040987780040733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.3,0.0,0.076,0.0,0.11789454746568168,0.5272857346931409,-0.016002638902937086,0.04569702514862106
81,0.0,9.0,44867584,,0.8973884957660745,,2958,2751,207,2,4.102404023716181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.99,0.99,0.99,0.0,0.0,0.224,0.0,-0.020179417323145245,0.27544349656071704,0.22851040798171543,-0.16711575647667487
54,0.0,9.0,16425605,-0.13476487905787357,,0.52530090240601,3897,3897,0,6,3.8645788302399904,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.2507774726517278,-0.27629784897568804,-0.04021685672796079,-0.001601986954901108
116,0.0,9.0,275912704,,0.9252496582899034,,3085,2516,569,12,4.012391811071325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,8,2.99,89.99,22.114999999999995,0.785,0.0,0.324,0.002544529262086514,-0.4699918168979065,-0.07661886246593128,-0.1977994704508951,-0.11290667945840763
461,0.99,9.0,38953615,-0.13476487905787357,,0.5437952860915284,4378,3953,425,6,4.1118489695417635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.722,0.0,0.239,0.0,-0.4897392685657407,-0.2648482345857557,-0.26977283852579814,-0.07189601022301192
12,0.0,4.0,26058752,-0.07013929790776077,,0.49080974550111706,2845,2845,0,1,4.040987780040733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.8,0.0,0.325,0.0,0.07915938936406684,-0.178363416988832,-0.05386668492795625,0.002293815966332111
12,0.0,4.0,15872000,-0.07474324533457735,,0.5261261064241377,3391,3391,0,2,4.102404023716181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.99,4.99,1.7899999999999998,0.0,0.0,0.177,0.0,-0.000818569430368999,0.3501535947717201,-0.058286520603819426,-0.0894762291036658
20,0.0,4.0,99302400,,0.9001045614342104,,4158,2377,1781,1,4.040987780040733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.203,0.0,-0.3536706629537981,-0.13209168134542565,-0.02809911926356401,-0.13056872044061202
41,0.0,4.0,47915008,-0.0749439364134476,,0.5243379033848736,3487,3314,173,10,4.040263652830761,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.99,2.99,1.9900000000000002,0.479,0.0,0.183,0.010869565217391304,0.011952552826608492,-0.2591066896834176,0.09176559904319487,0.14645944005111106
