User Rating Count,Price,Age Rating,game_age,last_update,maintaning_period,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_word_count,name_sia,sub_word_count,desc_word_count,excitement_score,attractive_score,size_log,dev_freq,dev_avg,lowest_review,highest_review,average_review
2215.0,0.0,4.0,2513.0,1456.0,1057.0,10,1.99,14.99,6.290000000000001,5,0.0,3,667,0.187,0.0,5.561239752160019,1,1.5046544558940846,0.1027,0.989,0.7989888888888889
860.0,2.99,9.0,2122.0,1818.0,304.0,3,2.99,9.99,5.989999999999999,3,0.6,4,205,0.28,0.0163265306122449,4.615993957063445,2,1.6388570863658862,0.25,0.9764,0.739325
15420.0,0.0,4.0,2121.0,1514.0,607.0,10,0.99,19.99,5.590000000000001,3,0.545,5,236,0.29200000000000004,0.0035335689045936395,4.9900445931515955,3,1.644131041522333,-0.8905,0.9837,0.52169
9.0,0.0,4.0,4042.0,3035.0,1007.0,1,0.99,0.99,0.99,3,0.0,1,205,0.127,0.0,3.9546790418648565,1,1.5046544558940846,-0.2247,0.9603,0.43881999999999993
36.0,0.0,9.0,3741.0,1493.0,2248.0,5,0.99,24.99,8.59,4,0.333,1,67,0.255,0.0,3.3252040641304594,2,1.3498065889908903,-0.5423,0.7831,0.28922857142857145
8.0,0.0,4.0,2013.0,1633.0,380.0,1,0.0,0.0,0.0,5,0.0,5,199,0.281,0.0044444444444444444,3.5498711476838554,1,1.5046544558940846,0.6369,0.6369,0.6369
39881.0,0.0,4.0,4032.0,2444.0,1588.0,7,0.99,99.99,27.56142857142857,8,0.355,1,163,0.268,0.0,4.992320762236644,1,1.5046544558940846,0.3753,0.9742,0.8340000000000002
776.0,0.0,4.0,2447.0,2303.0,144.0,9,0.99,19.99,5.656666666666666,9,0.271,1,174,0.279,0.0,5.147954278065398,14,1.6778019406759386,0.0,0.9042,0.6043166666666667
4776.0,0.0,9.0,1621.0,1409.0,212.0,10,0.99,9.99,3.8900000000000006,4,0.0,4,140,0.15000000000000002,0.0,5.877512563591002,1,1.5046544558940846,-0.9531,0.9945,0.5263300000000001
8.0,0.0,4.0,2590.0,1467.0,1123.0,4,4.99,19.99,10.74,4,0.0,3,93,0.251,0.0,5.43654045593083,1,1.5046544558940846,-0.9614,0.8316,-0.16098181818181817
1134.0,0.0,4.0,2578.0,1431.0,1147.0,10,1.99,24.99,11.889999999999997,2,0.0,3,271,0.133,0.006211180124223602,5.304958942374887,1,1.5046544558940846,0.7698,0.9795,0.927788888888889
224.0,3.99,9.0,2564.0,1873.0,691.0,2,1.99,2.99,2.49,1,0.0,1,133,0.335,0.0,4.107236042200583,1,1.5046544558940846,-0.8492,0.9834,0.6599875
2085.0,0.0,9.0,2809.0,1415.0,1394.0,10,4.99,99.99,32.89,1,0.0,4,238,0.196,0.0,5.972766666154782,2,1.6388570863658862,-0.967,0.9983,0.6510888888888888
560.0,0.0,12.0,3199.0,1946.0,1253.0,10,0.99,99.99,36.29,5,0.0,1,242,0.16699999999999998,0.0,3.7035552360791035,1,1.5046544558940846,0.1284,0.9712,0.8155444444444445
233.0,0.0,9.0,2671.0,1530.0,1141.0,6,4.99,99.99,35.82333333333334,6,0.494,4,375,0.296,0.0,5.156433751015324,1,1.5046544558940846,-0.2023,0.9493,0.6194666666666666
3724.0,0.0,9.0,2523.0,2503.0,20.0,10,0.99,9.99,4.290000000000001,9,0.0,1,262,0.221,0.0,4.308309478449357,64,1.5976695130044276,-0.4215,0.9982,0.7546499999999999
6.0,0.0,4.0,2569.0,2569.0,0.0,1,0.0,0.0,0.0,9,0.0,1,127,0.153,0.0,4.7818137869899076,1,1.5046544558940846,0.3182,0.8591,0.6713999999999999
7.0,0.0,4.0,2361.0,2361.0,0.0,6,0.99,4.99,2.1566666666666667,8,0.0,1,217,0.20099999999999998,0.0,4.006365735585758,64,1.5976695130044276,0.7506,0.7506,0.7506
63.0,1.99,9.0,2062.0,2019.0,43.0,9,0.99,99.99,21.43444444444444,5,0.333,1,129,0.311,0.00684931506849315,5.058205056735732,10,1.5327914070638544,-0.5719,0.6908,-0.04251999999999999
30.0,0.0,12.0,2555.0,2227.0,328.0,1,0.99,0.99,0.99,8,0.565,1,600,0.283,0.0,4.727119889017075,1,1.5046544558940846,-0.6486,0.9509,0.46499999999999997
83.0,4.99,12.0,3515.0,1618.0,1897.0,1,0.0,0.0,0.0,5,0.0,3,203,0.163,0.008547008547008548,4.924313715504634,10,1.5327914070638544,-0.9246,0.9875,0.445464705882353
51.0,2.99,12.0,2709.0,1446.0,1263.0,3,1.99,1.99,1.99,3,0.565,1,501,0.254,0.0,5.843671852389391,19,1.252162728110682,-0.5194,0.9555,0.65495
473.0,0.0,4.0,3558.0,2520.0,1038.0,5,2.99,49.99,17.589999999999996,2,0.0,1,563,0.122,0.0,4.774699874582839,4,1.4169926847831635,0.0,0.9726,0.631257142857143
75.0,0.0,4.0,3445.0,1453.0,1992.0,1,0.99,0.99,0.99,1,0.0,6,140,0.061,0.0,2.7921717175754903,1,1.5046544558940846,0.3612,0.9959,0.7659400000000001
108.0,0.0,4.0,2566.0,2292.0,274.0,3,0.99,4.99,2.6566666666666667,6,0.438,1,168,0.41300000000000003,0.0,3.738580441453218,3,1.644131041522333,-0.5267,0.7579,0.26302
3062.0,7.99,4.0,5315.0,1510.0,3805.0,1,0.0,0.0,0.0,4,0.0,4,216,0.2,0.0,2.0171915997459604,3,1.3446981839963057,0.7031,0.9814,0.9211699999999998
8.0,0.0,12.0,2508.0,2508.0,0.0,10,0.99,8.99,3.9900000000000007,3,0.0,1,221,0.234,0.0,4.8327088008453645,1,1.5046544558940846,-0.4019,0.99,0.683288888888889
10.0,0.0,4.0,2117.0,1809.0,308.0,1,0.0,0.0,0.0,6,0.0,5,64,0.435,0.0,4.468764907707354,1,1.5046544558940846,-0.6908,0.0,-0.40875
4705.0,0.0,4.0,2158.0,1401.0,757.0,6,1.99,29.99,10.656666666666666,7,0.0,4,458,0.173,0.0,4.720535652789549,1,1.5046544558940846,-0.1531,0.979,0.4281
27508.0,0.0,9.0,3025.0,1410.0,1615.0,10,1.99,49.99,11.190000000000001,3,0.623,5,509,0.20400000000000001,0.0,5.566300767900005,1,1.5046544558940846,-0.9731,0.9846,0.45509000000000005
611.0,0.0,4.0,2361.0,1743.0,618.0,10,1.99,99.99,21.09,5,0.531,1,496,0.335,0.0,6.342972887104955,1,1.5046544558940846,-0.2434,0.9902,0.61088
125.0,0.0,4.0,2513.0,2491.0,22.0,1,0.0,0.0,0.0,2,0.705,1,70,0.274,0.0,3.8893814080673126,2,1.3498065889908903,-0.8523,0.8511,0.3305888888888889
1258.0,0.0,12.0,2887.0,1395.0,1492.0,10,4.99,99.99,23.990000000000002,3,0.643,5,182,0.32899999999999996,0.0,3.6071799079746034,4,1.6495118239374542,-0.9726,0.9903,0.48185
17.0,0.0,4.0,2114.0,1448.0,666.0,8,0.99,6.99,2.74,2,0.0,5,419,0.274,0.0,4.079528139122633,2,1.4943318376783883,-0.8271,0.944,0.04624545454545456
56.0,1.99,12.0,3867.0,1560.0,2307.0,1,0.0,0.0,0.0,2,0.0,4,85,0.046,0.0,3.774866306457377,2,1.3498065889908903,-0.1779,0.9641,0.5042833333333333
60.0,0.0,4.0,2255.0,2184.0,71.0,1,1.99,1.99,1.99,8,0.0,1,111,0.247,0.0,3.770204293351566,1,1.5046544558940846,0.4019,0.9805,0.7286444444444444
6946.0,0.0,4.0,2368.0,1416.0,952.0,13,0.99,30.99,11.066923076923075,6,0.394,5,120,0.22399999999999998,0.0,5.6181081525011525,10,1.5327914070638544,-0.9421,0.9815,0.4735625
231.0,0.0,4.0,3630.0,1962.0,1668.0,3,0.99,3.99,2.6566666666666667,4,0.0,1,227,0.28700000000000003,0.003968253968253968,4.295732963708021,8,1.6720242453568281,0.6976,0.9855,0.8742857142857142
54181.0,0.0,17.0,1823.0,1401.0,422.0,10,1.99,99.99,26.190000000000005,3,0.565,3,480,0.11399999999999999,0.0,6.916996542665001,1,1.5046544558940846,0.3145,0.9984,0.91232
5.0,0.0,4.0,2055.0,2055.0,0.0,1,0.0,0.0,0.0,5,0.0,5,43,0.128,0.0,4.238817477475199,1,1.5046544558940846,-0.0093,0.8779,0.435875
15.0,0.0,4.0,3577.0,2320.0,1257.0,1,0.0,0.0,0.0,5,0.0,1,150,0.169,0.00546448087431694,3.2004778553781694,5,1.3341744852434736,0.2732,0.5719,0.42255
27.0,2.99,12.0,2871.0,1450.0,1421.0,6,1.99,1.99,1.99,3,0.565,1,252,0.196,0.0,5.764862221122992,19,1.252162728110682,-0.7783,0.8271,0.19287142857142858
179.0,0.0,9.0,2676.0,1758.0,918.0,10,0.99,9.99,3.4900000000000007,2,0.0,3,216,0.346,0.0,5.671358892314532,1,1.5046544558940846,-0.9846,0.9947,0.5390999999999999
409.0,0.0,4.0,3514.0,2870.0,644.0,7,0.99,4.99,2.5614285714285714,5,0.531,1,66,0.131,0.0,3.500639618807607,4,1.4169926847831635,0.9227,0.9642,0.9413333333333332
427.0,0.0,4.0,2746.0,1562.0,1184.0,1,2.99,2.99,2.99,2,0.0,1,133,0.263,0.006711409395973154,5.010325486110718,1,1.5046544558940846,-0.4295,0.9794,0.599476923076923
23.0,0.0,4.0,2578.0,1757.0,821.0,1,0.0,0.0,0.0,2,0.0,1,28,0.0,0.0,3.0266726452606267,2,1.4943318376783883,-0.2023,0.9349,0.55955
